Code;ForecastDate;ForecastType;ForecastStart;ForecastEnd;PrecipitationProbability;WeatherConditions;PrecipitationType;ExpectedPrecipitationAmount;MinimumTemperature;MaximumTemperature;WindDirection;WindSpeed;PrecipitationAmountDay;Notes;global_id
511556;10.02.2017 17:59;двенадцатичасовой прогноз;10.02.2017 21:00;11.02.2017 09:00;;;без осадков;;-4;-2;;;;Условия для гололедицы, ожидаемый прирост снега 0-1см;870650874
516104;29.06.2018 06:02;трехчасовой прогноз;29.06.2018 09:00;29.06.2018 12:00;;;дождь;;27;29;;;;Днем без осадков. Температура 27…29 град. Ветер юго-восточный 5-10 м/сек. Ночью кратковременный дождь, местами гроза 3-10 мм. Температура 16…18 град. Ветер юго-восточный 5-10 м/сек. ;870667626
516101;26.06.2018 05:54;трехчасовой прогноз;26.06.2018 09:00;26.06.2018 12:00;;;без осадков;;24;26;;;;Днем без осадков. Температура 24…26 град. Ветер слабый. Ночью без осадков. Температура 14…16 град. Ветер слабый. ;870669879
516103;28.06.2018 05:35;трехчасовой прогноз;28.06.2018 09:00;28.06.2018 12:00;;;без осадков;;27;29;;;;Днем без осадков. Температура 27…29 град. Ветер северо-восточный 3-8 м/сек. Ночью без осадков. Температура 15…17 град. Ветер восточный 3-8 м/сек. ;870669880
516102;27.06.2018 05:35;трехчасовой прогноз;27.06.2018 09:00;27.06.2018 12:00;;;без осадков;;26;28;;;;Днем без осадков. Температура 26…28 град. Ветер северо-восточный 3-8 м/сек. Ночью без осадков. Температура 14…16 град. Ветер северо-восточный 3-8 м/сек. ;870669882
514857;23.02.2018 05:59;трехчасовой прогноз;23.02.2018 09:00;23.02.2018 12:00;;;без осадков;;-11;-9;;;;Днем местами слабый снег 0-0,2 мм. Тем-ра -11…-9 град. Ветер слабый, менее 5 м/сек. Ночью местами слабый снег 0-0,2 мм. Тем-ра -22…-20 град. Ветер слабый.;870722712
514859;25.02.2018 06:01;трехчасовой прогноз;25.02.2018 07:00;25.02.2018 10:00;;;без осадков;;-13;-11;;;;Днем местами слабый снег 0-0,2 мм. Тем-ра -13…-11 град. Ветер слабый, менее 5 м/сек. Ночью местами слабый снег 0-0,2 мм. Тем-ра -23…-21 град. Ветер С 2-7 м/сек.;870722713
514936;17.03.2018 06:03;трехчасовой прогноз;17.03.2018 06:30;17.03.2018 09:30;;;без осадков;;-10;-8;;;;"Днем местами слабый снег 0-0,2 мм. Температура  -10…-8 град. Ветер северо-западный 3-8 м/сек. Ночью местами слабый снег 0-0,2 мм. Температура 
-16…-14, местами до -20 град. Ветер северо-западный 3-8 м/сек.";870722715
514957;19.03.2018 06:12;трехчасовой прогноз;19.03.2018 09:00;19.03.2018 12:00;;;без осадков;;-2;0;;;;Днем местами слабый снег 0-0,2 мм. Условия для гололедицы. Температура -2…0 град. Ветер юго-западный 3-8 м/сек. Ночью местами слабый снег 0-0,2 мм. Температура -10…-8 град. Ветер юго-западный 3-8 м/сек.;870722716
515036;29.03.2018 06:05;трехчасовой прогноз;29.03.2018 06:30;29.03.2018 09:30;;;без осадков;;-1;1;;;;Без осадков. Условия для гололедицы. Температура  -1…+1 град. Ветер слабый менее 5 м/сек. Ночью без осадков. Условия для гололедицы. Температура -9…-7 град. Ветер слабый менее 5 м/сек.;870722717
